Player,Odds
Scottie Scheffler,+300
Xander Schauffele,+1000
Rory McIlroy,+1100
Collin Morikawa,+1600
Viktor Hovland,+2000
Bryson DeChambeau,+2000
Brooks Koepka,+2200
Ludvig Aberg,+2200
Jon Rahm,+2500
Tommy Fleetwood,+4000
Hideki Matsuyama,+4000
Matt Fitzpatrick,+4500
Justin Thomas,+4500
Sahith Theegala,+5000
Max Homa,+5000
Cameron Smith,+5000
Tony Finau,+5500
Tyrrell Hatton,+6000
Jordan Spieth,+6000
Wyndham Clark,+6500
Sam Burns,+6500
Patrick Cantlay,+6500
Sungjae Im,+7500
Sepp Straka,+7500
Tom Kim,+8000
Shane Lowry,+8000
Russell Henley,+8000
Keegan Bradley,+8000
Jason Day,+8000
Dustin Johnson,+8000
Corey Conners,+8000
Cameron Young,+8000
Will Zalatoris,+8000
Si Woo Kim,+9000
Dean Burmester,+9000
Alex Noren,+9000
Brian Harman,+11000
Adam Scott,+11000
Christiaan Bezuidenhout,+11000
Denny McCarthy,+13000
Billy Horschel,+13000
Robert MacIntyre,+13000
Tom Hoge,+15000
Ryan Fox,+15000
Justin Rose,+15000
Harris English,+15000
Adam Hadwin,+15000
Sergio Garcia,+18000
Mackenzie Hughes,+18000
Kurt Kitayama,+18000
Aaron Rai,+18000
Thomas Detry,+18000
Nick Dunlap,+18000
Akshay Bhatia,+18000
Rickie Fowler,+20000
J.T. Poston,+20000
Austin Eckroat,+20000
Victor Perez,+20000
Adrian Meronk,+20000
Taylor Moore,+25000
Chris Kirk,+25000
Taylor Pendrith,+25000
Stephan Jaeger,+25000
Nicolai Hojgaard,+25000
Lucas Glover,+25000
Erik Van Rooyen	
Tiger Woods,+30000
Seamus Power,+30000
Eric Cole,+30000
Cam Davis,+30000
Davis Thompson,+30000
David Puig,+30000
Beau Hossler,+30000
Adam Svensson,+30000
Daniel Berger,+35000
Tom McKibbin,+35000
Phil Mickelson,+40000
Nick Taylor,+40000
Emiliano Grillo,+40000
Webb Simpson,+40000
Richard Mansell,+40000
Matthieu Pavon,+40000
Mark Hubbard,+40000
Jake Knapp,+40000
Gordon Sargent,+40000
Adam Schenk,+40000
Mac Meissner,+40000
Matt Kuchar,+50000
Gary Woodland,+50000
Tim Widing,+50000
Martin Kaymer,+50000
Harry Higgs,+50000
Brendon Todd,+50000
Greyson Sigg,+50000
Takumi Kanaya,+60000
Chesson Hadley,+60000
Luke Clanton,+60000
Sam Bennett,+80000
Sam Bairstow,+80000
Ryo Ishikawa,+80000
Peter Malnati,+80000
Matteo Manassero,+80000
Justin Lower,+80000
Brandon Wu,+80000
Rikuya Hoshino,+100000
Rico Hoey,+100000
Max Greyserman,+100000
Isaiah Salinda,+100000
Frankie Capan III	
Brian Campbell,+100000
Benjamin James,+100000
Ben Kohles,+100000
Francesco Molinari,+150000
Zac Blair,+150000
Taisei Shimizu,+150000
Eugenio Chacarra,+150000
Brendan Valdes,+150000
Nico Echavarria,+200000
Grant Forrest,+200000
Stewart Hagestad,+250000
Santiago De la Fuente
Robert Rock,+250000
Riki Kawamoto,+250000
Omar Morales,+250000
Jason Scrivener,+250000
Frederik Kjettrup,+250000
Casey Jarvis,+250000
Carter Jenkins,+250000
Andrew Svoboda,+250000
Hiroshi Tai,+250000
Jackson Buchanan,+250000
Charles Reiter,+250000
Edoardo Molinari,+250000
Maxwell Moldovan,+250000
Willie Mack III	
Sung Kang,+500000
Neal Shipley,+500000
Logan McAllister,+500000
John Chin,+500000
Jim Herman,+500000
Christopher Petefish,+500000
Chris Naegel,+500000
Brandon Robinson Thompson	
Ashton McCulloch,+500000
Joey Vrzich,+500000
Bryan Kim,+500000
Carson Schaake,+500000
Wells Williams,+500000
Colin Prater,+500000
Gunnar Broin,+500000
Michael McGowan,+500000
Parker Bell,+500000
Otto Black,+500000
