Player,Odds
Scottie Scheffler,+400
Rory McIlroy,+450
Bryson DeChambeau,+700
Jon Rahm,+1800
Justin Thomas,+2000
Xander Schauffele,+2200
Collin Morikawa,+2200
Ludvig Åberg,+2500
Joaquin Niemann,+3300
Patrick Cantlay,+4000
Tommy Fleetwood,+4000
Tyrrell Hatton,+4500
Hideki Matsuyama,+4500
Brooks Koepka,+4500
Shane Lowry,+5500
Viktor Hovland,+5500
Jordan Spieth,+6000
Sepp Straka,+7000
Corey Conners,+7000
Russell Henley,+7000
Patrick Reed,+8000
Jason Day,+8000
Min Woo Lee,+9000
Daniel Berger,+10000
Sungjae Im,+10000
Wyndham Clark,+11000
Tony Finau,+11000
Justin Rose,+11000
Keith Mitchell,+12000
Robert MacIntyre,+12000
Will Zalatoris,+12000
Sam Burns,+12000
Sergio Garcia,+12000
Maverick McNealy,+12000
Si Woo Kim,+12000
Dustin Johnson,+12000
Keegan Bradley,+12000
Cameron Smith,+12000
Akshay Bhatia,+15000
J.J. Spaun,+15000
David Puig,+15000
Aaron Rai,+15000
Byeong Hun An,+15000
Rickie Fowler,+17000
Denny McCarthy,+17000
Taylor Pendrith,+17000
Davis Thompson,+17000
Dean Burmester,+17000
Andrew Novak,+17000
Adam Scott,+20000
Matt Fitzpatrick,+20000
Tom Kim,+20000
Michael Kim,+20000
Max Homa,+20000
Brian Harman,+20000
J.T. Poston,+22000
Rasmus Højgaard,+22000
Harris English,+22000
Mackenzie Hughes,+22000
Sahith Theegala,+25000
Taylor Moore,+25000
Stephan Jaeger,+25000
Ben Griffin,+27000
Gary Woodland,+27000
Thorbjørn Olesen,+27000
Rasmus Neergaard-Petersen,+27000
Thomas Detry,+27000
Bud Cauley,+27000
Kurt Kitayama,+27000
Nicolai Højgaard,+30000
Lucas Glover,+30000
Jacob Bridgeman,+30000
Kevin Yu,+30000
Niklas Norgaard,+30000
Sam Stevens,+30000
Cameron Young,+30000
Ryan Fox,+30000
Max Greyserman,+35000
Jake Knapp,+35000
Rico Hoey,+35000
Nick Taylor,+35000
Michael Thorbjornsen,+35000
Seamus Power,+35000
Ryan Gerard,+35000
Alex Noren,+35000
Matt McCarty,+40000
Chris Kirk,+40000
Phil Mickelson,+40000
Eugenio Chacarra,+40000
Tom McKibbin,+40000
Harry Hall,+40000
Tom Hoge,+40000
Erik van Rooyen,+40000
Austin Eckroat,+40000
Patrick Rodgers,+40000
Lee Hodges,+40000
Eric Cole,+40000
Laurie Canter,+40000
Matt Wallace,+50000
Victor Perez,+50000
Cam Davis,+50000
Johnny Keefer,+50000
Ryo Hisatsune,+50000
Sami Valimaki,+50000
Davis Riley,+50000
Keita Nakajima,+60000
Karl Vilips,+60000
Adam Hadwin,+60000
Christiaan Bezuidenhout,+60000
Max McGreevy,+60000
Garrick Higgo,+75000
Takumi Kanaya,+75000
Marco Penge,+75000
Jhonattan Vegas,+75000
Beau Hossler,+75000
Joe Highsmith,+75000
Nico Echavarria,+75000
Elvis Smylie,+75000
Justin Lower,+75000
Patrick Fishburn,+75000
Michael Kartrude,+100000
Ryan Lenahan,+100000
Thriston Lawrence,+100000
Jason Dufner,+100000
Brian Bergstol,+100000
Daniel van Tonder,+100000
Richard Bland,+100000
Tyler Collet,+100000
Tom Johnson,+100000
Nick Dunlap,+100000
Justin Hicks,+100000
Padraig Harrington,+100000
Dylan Newman,+100000
Jimmy Walker,+100000
John Somers,+100000
Michael Block,+100000
Eric Steger,+100000
Rupe Taylor,+100000
Andre Chi,+100000
Larkin Gross,+100000
Nic Ishee,+100000
Brandon Bingaman,+100000
Matthieu Pavon,+100000
Jesse Droemer,+100000
John Parry,+100000
Bobby Gates,+100000
Luke Donald,+100000
Brian Campbell,+100000
Shaun Micheel,+100000
Timothy Wiseman,+100000
Bob Sowards,+100000
Martin Kaymer,+100000
Patton Kizzire,+100000
Greg Koch,+100000
John Catlin,+100000
Rafael Campos,+100000
